1;1262.00;9.50;1198.00;big
1;4513.00;9.50;949.00;big
2;2770.00;11.00;1898.00;big
2;3225.00;11.00;1843.00;big
3;2958.00;11.30;1750.00;big
3;2758.00;13.00;1718.00;big
4;2344.00;10.30;1066.00;big
4;2464.00;11.32;1057.00;big
5;2402.00;11.30;893.00;big
5;2241.00;10.20;806.00;big
6;2585.00;10.30;1169.00;big
6;2659.00;11.60;1274.00;big
7;2682.00;10.30;1420.00;big
7;2771.00;10.65;1377.00;big
8;2836.00;10.38;1012.00;big
8;2865.00;11.00;1170.00;big
9;2582.00;10.85;951.00;big
9;2709.00;12.60;898.00;big
10;2458.00;10.68;606.00;big
10;2286.00;11.38;563.00;big
11;2550.00;11.45;741.00;big
11;2658.00;11.40;772.00;big
12;2376.00;12.07;716.00;big
12;2200.00;12.73;661.00;big
13;2046.00;12.60;703.00;big
13;1984.00;11.05;508.00;big
14;1843.00;11.30;687.00;big
14;1747.00;11.60;587.00;big
15;1627.00;11.00;752.00;big
15;1721.00;11.30;819.00;big
16;1417.00;10.40;889.00;big
16;1419.00;12.10;742.00;big
17;1381.00;11.30;561.00;big
17;1484.00;11.68;419.00;big
18;1501.00;12.73;1072.00;big
18;1692.00;13.73;998.00;big
19;3590.00;10.70;283.00;big
19;3890.00;12.60;320.00;big
20;4080.00;10.30;801.00;big
20;4065.00;10.85;911.00;big
21;3802.00;10.20;876.00;big
21;3535.00;10.65;726.00;big
22;3611.00;12.85;1039.00;big
22;3524.00;12.10;883.00;big
23;3380.00;10.30;950.00;big
23;3475.00;12.30;1045.00;big
24;3482.00;10.98;1152.00;big
24;3579.00;11.40;1172.00;big
25;3690.00;11.30;1432.00;big
25;3614.00;10.68;1272.00;big
26;3260.00;11.32;1278.00;big
26;3415.00;10.25;1294.00;big
27;3147.00;13.00;1129.00;big
27;3216.00;10.40;985.00;big
28;3091.00;10.62;825.00;big
28;3195.00;11.68;868.00;big
29;3144.00;10.20;723.00;big
29;3083.00;10.45;681.00;big
30;2950.00;11.35;440.00;big
30;3119.00;11.30;472.00;big
31;3392.00;9.50;1124.00;big
31;3273.00;10.28;1163.00;big
32;2156.00;11.07;1318.00;big
32;1928.00;11.10;1194.00;big
33;3408.00;9.50;798.00;big
33;3282.00;9.50;867.00;big
34;2271.00;9.50;1006.00;big
34;2161.00;9.50;903.00;big
35;2001.00;9.50;837.00;big
35;1842.00;9.50;915.00;big
36;2171.00;9.50;1179.00;big
36;2011.00;9.50;1114.00;big
37;2680.00;9.50;1432.00;big
37;2801.00;9.50;1329.00;big
38;2298.00;9.50;1360.00;big
38;2437.00;9.50;1233.00;big
39;2762.00;9.50;1583.00;big
39;2968.00;9.50;1612.00;big
40;3123.00;9.50;1706.00;big
40;3295.00;9.50;1681.00;big
41;3376.00;9.50;1965.00;big
41;3423.00;9.50;1755.00;big
42;3083.00;9.50;2008.00;big
42;2702.00;9.50;2003.00;big
43;2605.00;9.50;1884.00;big
43;2582.00;9.50;1707.00;big
44;2559.00;9.50;1531.00;big
44;2382.00;9.50;1471.00;big
45;1754.00;9.50;1198.00;big
45;1568.00;9.50;1264.00;big
46;1566.00;9.50;1448.00;big
46;1739.00;9.50;1502.00;big
47;1649.00;9.50;528.00;big
47;1487.00;9.50;562.00;big
48;1824.00;9.50;374.00;big
48;1676.00;9.50;362.00;big
49;2001.00;9.50;316.00;big
49;2191.00;9.50;348.00;big
50;1690.00;9.50;181.00;big
50;1814.00;9.50;122.00;big
51;2320.00;9.50;105.00;big
51;2016.00;9.50;125.00;big
52;2353.00;9.50;487.00;big
52;2532.00;9.50;524.00;big
53;2754.00;9.50;373.00;big
53;2489.00;9.50;270.00;big
54;2688.00;9.50;616.00;big
54;2804.00;9.50;786.00;big
55;2955.00;9.50;1140.00;big
55;2979.00;9.50;952.00;big
56;3191.00;9.50;1411.00;big
56;3005.00;9.50;1327.00;big
57;2902.00;9.50;550.00;big
57;3054.00;9.50;528.00;big
58;3024.00;9.50;697.00;big
58;2977.00;9.50;794.00;big
59;3193.00;9.50;642.00;big
59;3346.00;9.50;651.00;big
60;2542.00;9.50;85.00;big
60;2785.00;9.50;111.00;big
61;3187.00;9.50;133.00;big
61;3107.00;9.50;374.00;big
62;3389.00;9.50;498.00;big
62;3520.00;9.50;546.00;big
63;3549.00;9.50;366.00;big
63;3370.00;9.50;354.00;big
64;3366.00;9.50;76.00;big
64;3416.00;9.50;250.00;big
65;3817.00;9.50;691.00;big
65;3672.00;9.50;631.00;big
66;3872.00;9.50;462.00;big
66;3681.00;9.50;412.00;big
67;3393.00;9.50;1489.00;big
67;3568.00;9.50;1439.00;big
68;3757.00;9.50;1019.00;big
68;3654.00;9.50;979.00;big
69;3617.00;9.50;1145.00;big
69;3715.00;9.50;1142.00;big
70;2020.00;12.50;1396.00;big
70;1821.00;11.62;1347.00;big
71;2440.00;9.50;1927.00;big
72;2486.00;10.60;1949.00;big
72;2460.00;10.70;1965.00;big
